Year,Month,Day,Hour,AirQualityStationEoICode,AirPollutant,Concentration
2013,9,27,0,CZ0TNUJ,PM10,24.0
2013,9,28,0,CZ0TNUJ,PM10,33.0
2013,9,28,0,CZ0TNUJ,PM10,33.0
2013,9,29,0,CZ0TNUJ,PM10,30.0
2013,9,29,0,CZ0TNUJ,PM10,30.0
2013,9,30,0,CZ0TNUJ,PM10,30.0
2013,9,30,0,CZ0TNUJ,PM10,30.0
2013,10,1,0,CZ0TNUJ,PM10,24.0
2013,10,1,0,CZ0TNUJ,PM10,24.0
2013,10,2,0,CZ0TNUJ,PM10,23.0
2013,10,2,0,CZ0TNUJ,PM10,23.0
2013,10,3,0,CZ0TNUJ,PM10,23.0
2013,10,3,0,CZ0TNUJ,PM10,23.0
2013,10,4,0,CZ0TNUJ,PM10,31.0
2013,10,4,0,CZ0TNUJ,PM10,31.0
2013,10,5,0,CZ0TNUJ,PM10,23.0
2013,10,5,0,CZ0TNUJ,PM10,23.0
2013,10,6,0,CZ0TNUJ,PM10,39.0
2013,10,6,0,CZ0TNUJ,PM10,39.0
2013,10,7,0,CZ0TNUJ,PM10,61.0
2013,10,7,0,CZ0TNUJ,PM10,61.0
2013,10,8,0,CZ0TNUJ,PM10,45.0
2013,10,8,0,CZ0TNUJ,PM10,45.0
2013,10,9,0,CZ0TNUJ,PM10,41.0
2013,10,9,0,CZ0TNUJ,PM10,41.0
2013,10,10,0,CZ0TNUJ,PM10,30.0
2013,10,10,0,CZ0TNUJ,PM10,30.0
2013,10,11,0,CZ0TNUJ,PM10,23.0
2013,10,11,0,CZ0TNUJ,PM10,23.0
2013,10,12,0,CZ0TNUJ,PM10,44.0
2013,10,12,0,CZ0TNUJ,PM10,44.0
2013,10,13,0,CZ0TNUJ,PM10,24.0
2013,10,13,0,CZ0TNUJ,PM10,24.0
2013,10,14,0,CZ0TNUJ,PM10,55.0
2013,10,14,0,CZ0TNUJ,PM10,55.0
2013,10,15,0,CZ0TNUJ,PM10,33.0
2013,10,15,0,CZ0TNUJ,PM10,33.0
2013,10,16,0,CZ0TNUJ,PM10,23.0
2013,10,16,0,CZ0TNUJ,PM10,23.0
2013,10,17,0,CZ0TNUJ,PM10,15.0
2013,10,17,0,CZ0TNUJ,PM10,15.0
2013,10,18,0,CZ0TNUJ,PM10,16.0
2013,10,18,0,CZ0TNUJ,PM10,16.0
2013,10,19,0,CZ0TNUJ,PM10,15.0
2013,10,19,0,CZ0TNUJ,PM10,15.0
2013,10,20,0,CZ0TNUJ,PM10,22.0
2013,10,20,0,CZ0TNUJ,PM10,22.0
2013,10,21,0,CZ0TNUJ,PM10,34.0
2013,10,21,0,CZ0TNUJ,PM10,34.0
2013,10,22,0,CZ0TNUJ,PM10,27.0
2013,10,22,0,CZ0TNUJ,PM10,27.0
2013,10,23,0,CZ0TNUJ,PM10,23.0
2013,10,23,0,CZ0TNUJ,PM10,23.0
2013,10,24,0,CZ0TNUJ,PM10,19.0
2013,10,24,0,CZ0TNUJ,PM10,19.0
2013,10,25,0,CZ0TNUJ,PM10,29.0
2013,10,25,0,CZ0TNUJ,PM10,29.0
2013,10,26,0,CZ0TNUJ,PM10,25.0
2013,10,26,0,CZ0TNUJ,PM10,25.0
2013,10,27,0,CZ0TNUJ,PM10,9.0
2013,10,27,0,CZ0TNUJ,PM10,9.0
2013,10,28,0,CZ0TNUJ,PM10,15.0
2013,10,28,0,CZ0TNUJ,PM10,15.0
2013,10,29,0,CZ0TNUJ,PM10,12.0
2013,10,29,0,CZ0TNUJ,PM10,12.0
2013,10,30,0,CZ0TNUJ,PM10,27.0
2013,10,30,0,CZ0TNUJ,PM10,27.0
2013,10,31,0,CZ0TNUJ,PM10,31.0
2013,10,31,0,CZ0TNUJ,PM10,31.0
2013,11,1,0,CZ0TNUJ,PM10,36.0
2013,11,1,0,CZ0TNUJ,PM10,36.0
2013,11,2,0,CZ0TNUJ,PM10,26.0
2013,11,2,0,CZ0TNUJ,PM10,26.0
2013,11,3,0,CZ0TNUJ,PM10,8.0
2013,11,3,0,CZ0TNUJ,PM10,8.0
2013,11,4,0,CZ0TNUJ,PM10,8.0
2013,11,4,0,CZ0TNUJ,PM10,8.0
2013,11,5,0,CZ0TNUJ,PM10,21.0
2013,11,5,0,CZ0TNUJ,PM10,21.0
2013,11,6,0,CZ0TNUJ,PM10,13.0
2013,11,6,0,CZ0TNUJ,PM10,13.0
